Named User,Notification Name,Message Type,Notification ID
FW8021,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3NARG4,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
BL6082,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
KM6098,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
DU0393,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
CV6216,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
6MBNHE,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3WATZV,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
587870,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3EA3SV,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3GAXFK,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
DT7081,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
2TBC8R,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
859855,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
44AZ4W,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3LBLXL,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3MAU5Y,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
6SBXLQ,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
4HAR7E,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3GBMZH,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
AH4966,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
23BGDJ,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
4CARC4,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
2LACC9,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
117948,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
49AQV5,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3GBVCG,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
AU7136,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
HN6335,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
AZ4420,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3VAS3V,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
37AATB,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
LA8018,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
